"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0.002
"15",0.002
"16",0.002
"17",0.002
"18",0.002
"19",0.002
"20",0.002
"21",0.002
"22",0.002
"23",0.002
"24",0.002
"25",0.002
"26",0.004
"27",0.004
"28",0.004
"29",0.004
"30",0.004
"31",0.004
"32",0.004
"33",0.004
"34",0.004
"35",0.004
"36",0.004
"37",0.006
"38",0.006
"39",0.006
"40",0.006
"41",0.006
"42",0.006
"43",0.006
"44",0.006
"45",0.006
"46",0.006
"47",0.006
"48",0.008
"49",0.008
"50",0.008
"51",0.008
"52",0.008
"53",0.008
"54",0.008
"55",0.008
"56",0.008
"57",0.008
"58",0.008
"59",0.01
"60",0.01
"61",0.01
"62",0.01
"63",0.01
"64",0.01
"65",0.01
"66",0.01
"67",0.01
"68",0.01
"69",0.012
"70",0.012
"71",0.012
"72",0.012
"73",0.012
"74",0.012
"75",0.012
"76",0.012
"77",0.012
"78",0.014
"79",0.014
"80",0.014
"81",0.014
"82",0.014
"83",0.014
"84",0.014
"85",0.014
"86",0.014
"87",0.016
"88",0.016
"89",0.016
"90",0.016
"91",0.016
"92",0.016
"93",0.016
"94",0.016
"95",0.018
"96",0.018
"97",0.018
"98",0.018
"99",0.018
"100",0.018
"101",0.018
"102",0.02
"103",0.02
"104",0.02
"105",0.02
"106",0.02
"107",0.02
"108",0.022
"109",0.022
"110",0.022
"111",0.022
"112",0.022
"113",0.022
"114",0.024
"115",0.024
"116",0.024
"117",0.024
"118",0.024
"119",0.026
"120",0.026
"121",0.026
"122",0.026
"123",0.028
"124",0.028
"125",0.028
"126",0.028
"127",0.03
"128",0.03
"129",0.03
"130",0.03
"131",0.032
"132",0.032
"133",0.032
"134",0.034
"135",0.034
"136",0.036
"137",0.036
"138",0.038
"139",0
"140",0
"141",0
"142",0.002
"143",0.002
"144",0.002
"145",0.004
"146",0.004
"147",0.004
"148",0.004
"149",0.006
"150",0.006
"151",0.006
"152",0.006
"153",0.006
"154",0.008
"155",0.008
"156",0.008
"157",0.008
"158",0.008
"159",0.01
"160",0.01
"161",0.01
"162",0.01
"163",0.01
"164",0.01
