"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0.002
"12",0.002
"13",0.002
"14",0.002
"15",0.002
"16",0.002
"17",0.002
"18",0.002
"19",0.002
"20",0.004
"21",0.004
"22",0.004
"23",0.004
"24",0.004
"25",0.004
"26",0.004
"27",0.004
"28",0.006
"29",0.006
"30",0.006
"31",0.006
"32",0.006
"33",0.006
"34",0.006
"35",0.008
"36",0.008
"37",0.008
"38",0.008
"39",0.008
"40",0.01
"41",0.01
"42",0.01
"43",0.01
"44",0.012
"45",0.012
"46",0.012
"47",0.014
"48",0.014
"49",0.016
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0.002
"61",0.002
"62",0.002
"63",0.002
"64",0.002
"65",0.002
"66",0.002
"67",0.002
"68",0.002
"69",0.004
"70",0.004
"71",0.004
"72",0.004
"73",0.004
"74",0.004
"75",0.004
"76",0.004
"77",0.006
"78",0.006
"79",0.006
"80",0.006
"81",0.006
"82",0.006
"83",0.006
"84",0.008
"85",0.008
"86",0.008
"87",0.008
"88",0.008
"89",0.01
"90",0.01
"91",0.01
"92",0.01
"93",0.012
"94",0.012
"95",0.012
"96",0.014
"97",0.014
"98",0.016
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0.002
"110",0.002
"111",0.002
"112",0.002
"113",0.002
"114",0.002
"115",0.002
"116",0.002
"117",0.002
"118",0.004
"119",0.004
"120",0.004
"121",0.004
"122",0.004
"123",0.004
"124",0.004
"125",0.004
"126",0.006
"127",0.006
"128",0.006
"129",0.006
"130",0.006
"131",0.006
"132",0.006
"133",0.008
"134",0.008
"135",0.008
"136",0.008
"137",0.008
"138",0.01
"139",0.01
"140",0.01
"141",0.01
"142",0.012
"143",0.012
"144",0.012
"145",0.014
"146",0.014
"147",0.016
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0.002
"161",0.002
"162",0.002
"163",0.002
"164",0.002
"165",0.002
"166",0.002
"167",0.002
"168",0.002
"169",0.002
"170",0.002
"171",0.004
"172",0.004
