"","x"
"1",0.062849728
"2",0.063149728
"3",0.063449728
"4",0.063749728
"5",0.064049728
"6",0.064349728
"7",0.064649728
"8",0.064949728
"9",0.065249728
"10",0.065549728
"11",0.065849728
"12",0.066149728
"13",0.066449728
"14",0.062849728
"15",0.063149728
"16",0.063449728
"17",0.063749728
"18",0.064049728
"19",0.064349728
"20",0.064649728
"21",0.064949728
"22",0.065249728
"23",0.065549728
"24",0.065849728
"25",0.066149728
"26",0.062849728
"27",0.063149728
"28",0.063449728
"29",0.063749728
"30",0.064049728
"31",0.064349728
"32",0.064649728
"33",0.064949728
"34",0.065249728
"35",0.065549728
"36",0.065849728
"37",0.062549728
"38",0.062849728
"39",0.063149728
"40",0.063449728
"41",0.063749728
"42",0.064049728
"43",0.064349728
"44",0.064649728
"45",0.064949728
"46",0.065249728
"47",0.065549728
"48",0.062549728
"49",0.062849728
"50",0.063149728
"51",0.063449728
"52",0.063749728
"53",0.064049728
"54",0.064349728
"55",0.064649728
"56",0.064949728
"57",0.065249728
"58",0.065549728
"59",0.062549728
"60",0.062849728
"61",0.063149728
"62",0.063449728
"63",0.063749728
"64",0.064049728
"65",0.064349728
"66",0.064649728
"67",0.064949728
"68",0.065249728
"69",0.062549728
"70",0.062849728
"71",0.063149728
"72",0.063449728
"73",0.063749728
"74",0.064049728
"75",0.064349728
"76",0.064649728
"77",0.064949728
"78",0.062249728
"79",0.062549728
"80",0.062849728
"81",0.063149728
"82",0.063449728
"83",0.063749728
"84",0.064049728
"85",0.064349728
"86",0.064649728
"87",0.062249728
"88",0.062549728
"89",0.062849728
"90",0.063149728
"91",0.063449728
"92",0.063749728
"93",0.064049728
"94",0.064349728
"95",0.062249728
"96",0.062549728
"97",0.062849728
"98",0.063149728
"99",0.063449728
"100",0.063749728
"101",0.064049728
"102",0.062249728
"103",0.062549728
"104",0.062849728
"105",0.063149728
"106",0.063449728
"107",0.063749728
"108",0.061949728
"109",0.062249728
"110",0.062549728
"111",0.062849728
"112",0.063149728
"113",0.063449728
"114",0.061949728
"115",0.062249728
"116",0.062549728
"117",0.062849728
"118",0.063149728
"119",0.061949728
"120",0.062249728
"121",0.062549728
