"","x"
"1",0.035752
"2",0.035852
"3",0.035952
"4",0.036052
"5",0.036152
"6",0.036252
"7",0.036352
"8",0.036452
"9",0.036552
"10",0.036652
"11",0.035652
"12",0.035752
"13",0.035852
"14",0.035952
"15",0.036052
"16",0.036152
"17",0.036252
"18",0.036352
"19",0.036452
"20",0.035552
"21",0.035652
"22",0.035752
"23",0.035852
"24",0.035952
"25",0.036052
"26",0.036152
"27",0.036252
"28",0.035452
"29",0.035552
"30",0.035652
"31",0.035752
"32",0.035852
"33",0.035952
"34",0.036052
"35",0.035452
"36",0.035552
"37",0.035652
"38",0.035752
"39",0.035852
"40",0.035352
"41",0.035452
"42",0.035552
"43",0.035652
"44",0.035252
"45",0.035352
"46",0.035452
"47",0.035152
"48",0.035252
"49",0.035052
"50",0.035752
"51",0.035852
"52",0.035952
"53",0.036052
"54",0.036152
"55",0.036252
"56",0.036352
"57",0.036452
"58",0.036552
"59",0.036652
"60",0.035652
"61",0.035752
"62",0.035852
"63",0.035952
"64",0.036052
"65",0.036152
"66",0.036252
"67",0.036352
"68",0.036452
"69",0.035552
"70",0.035652
"71",0.035752
"72",0.035852
"73",0.035952
"74",0.036052
"75",0.036152
"76",0.036252
"77",0.035452
"78",0.035552
"79",0.035652
"80",0.035752
"81",0.035852
"82",0.035952
"83",0.036052
"84",0.035452
"85",0.035552
"86",0.035652
"87",0.035752
"88",0.035852
"89",0.035352
"90",0.035452
"91",0.035552
"92",0.035652
"93",0.035252
"94",0.035352
"95",0.035452
"96",0.035152
"97",0.035252
"98",0.035052
"99",0.035752
"100",0.035852
"101",0.035952
"102",0.036052
"103",0.036152
"104",0.036252
"105",0.036352
"106",0.036452
"107",0.036552
"108",0.036652
"109",0.035652
"110",0.035752
"111",0.035852
"112",0.035952
"113",0.036052
"114",0.036152
"115",0.036252
"116",0.036352
"117",0.036452
"118",0.035552
"119",0.035652
"120",0.035752
"121",0.035852
"122",0.035952
"123",0.036052
"124",0.036152
"125",0.036252
"126",0.035452
"127",0.035552
"128",0.035652
"129",0.035752
"130",0.035852
"131",0.035952
"132",0.036052
"133",0.035452
"134",0.035552
"135",0.035652
"136",0.035752
"137",0.035852
"138",0.035352
"139",0.035452
"140",0.035552
"141",0.035652
"142",0.035252
"143",0.035352
"144",0.035452
"145",0.035152
"146",0.035252
"147",0.035052
"148",0.033552
"149",0.033652
"150",0.033752
"151",0.033852
"152",0.033952
"153",0.034052
"154",0.034152
"155",0.034252
"156",0.034352
"157",0.034452
"158",0.034552
"159",0.034652
"160",0.033452
"161",0.033552
"162",0.033652
"163",0.033752
"164",0.033852
"165",0.033952
"166",0.034052
"167",0.034152
"168",0.034252
"169",0.034352
"170",0.034452
"171",0.033352
"172",0.033452
"173",0.033552
"174",0.033652
"175",0.033752
"176",0.033852
"177",0.033952
"178",0.034052
"179",0.034152
"180",0.034252
"181",0.033252
"182",0.033352
"183",0.033452
"184",0.033552
"185",0.033652
"186",0.033752
"187",0.033852
"188",0.033952
"189",0.034052
"190",0.033152
"191",0.033252
"192",0.033352
"193",0.033452
"194",0.033552
"195",0.033652
"196",0.033752
"197",0.033852
"198",0.033152
"199",0.033252
"200",0.033352
"201",0.033452
"202",0.033552
"203",0.033652
"204",0.033052
"205",0.033152
"206",0.033252
"207",0.033352
"208",0.033452
"209",0.032952
"210",0.033052
"211",0.033152
"212",0.033252
"213",0.032852
"214",0.032952
"215",0.033052
"216",0.033152
"217",0.032752
"218",0.032852
"219",0.032952
"220",0.032752
"221",0.033552
"222",0.033652
"223",0.033752
"224",0.033852
"225",0.033952
"226",0.034052
"227",0.034152
"228",0.034252
"229",0.034352
"230",0.034452
"231",0.034552
"232",0.034652
"233",0.033452
"234",0.033552
"235",0.033652
"236",0.033752
"237",0.033852
"238",0.033952
"239",0.034052
"240",0.034152
"241",0.034252
"242",0.034352
"243",0.034452
"244",0.033352
"245",0.033452
"246",0.033552
"247",0.033652
"248",0.033752
"249",0.033852
"250",0.033952
"251",0.034052
"252",0.034152
"253",0.034252
"254",0.033252
"255",0.033352
"256",0.033452
"257",0.033552
"258",0.033652
"259",0.033752
"260",0.033852
"261",0.033952
"262",0.034052
"263",0.033152
"264",0.033252
"265",0.033352
"266",0.033452
"267",0.033552
"268",0.033652
"269",0.033752
"270",0.033852
"271",0.033152
"272",0.033252
"273",0.033352
"274",0.033452
"275",0.033552
"276",0.033652
"277",0.033052
"278",0.033152
"279",0.033252
"280",0.033352
"281",0.033452
"282",0.032952
"283",0.033052
"284",0.033152
"285",0.033252
"286",0.032852
"287",0.032952
"288",0.033052
"289",0.033152
"290",0.032752
"291",0.032852
"292",0.032952
"293",0.032752
"294",0.033552
"295",0.033652
"296",0.033752
"297",0.033852
"298",0.033952
"299",0.034052
"300",0.034152
"301",0.034252
"302",0.034352
"303",0.034452
"304",0.034552
"305",0.034652
"306",0.033452
"307",0.033552
"308",0.033652
"309",0.033752
"310",0.033852
"311",0.033952
"312",0.034052
"313",0.034152
"314",0.034252
"315",0.034352
"316",0.034452
"317",0.033352
"318",0.033452
"319",0.033552
"320",0.033652
"321",0.033752
"322",0.033852
"323",0.033952
"324",0.034052
"325",0.034152
"326",0.034252
"327",0.033252
"328",0.033352
"329",0.033452
"330",0.033552
"331",0.033652
"332",0.033752
"333",0.033852
"334",0.033952
"335",0.034052
"336",0.033152
"337",0.033252
"338",0.033352
"339",0.033452
"340",0.033552
"341",0.033652
"342",0.033752
"343",0.033852
"344",0.033152
"345",0.033252
"346",0.033352
"347",0.033452
"348",0.033552
"349",0.033652
