"","x"
"1",53.0564406057362
"2",17.6303551290198
"3",12.2655251936105
"4",7.32247180946831
"5",4.63671695513914
"6",1.17296277181336
"7",1.12646342946291
"8",0.443018648625302
"9",0.437504185441701
"10",0.228591661084928
"11",0.223820087608097
"12",0.19774673951992
"13",0.18286041725848
"14",0.160814598359453
"15",0.14373528067698
"16",0.119784338803157
"17",0.110783534336999
"18",0.107021056381841
"19",0.0807633452314489
"20",0.0674493020646462
"21",0.0618533755354945
"22",0.0592302601089305
"23",0.0585508585684643
"24",0.054927443768152
"25",0.0506089723758231
