"","x"
"1",55.4679888380623
"2",17.0192722058852
"3",12.8210495257339
"4",6.49145675774656
"5",4.56062203051293
"6",1.11045977907229
"7",1.04779205182032
"8",0.264546537203934
"9",0.237046981198085
"10",0.121199106521733
"11",0.119638713240192
"12",0.110862619926824
"13",0.0830710319180721
"14",0.0726100929194135
"15",0.0610526792810511
"16",0.0586322884612087
"17",0.0540154785534491
"18",0.0468300806403612
"19",0.045013740352748
"20",0.0439912455763965
"21",0.0418569101429746
"22",0.0338619473281106
"23",0.0319533636112493
"24",0.0316318259864337
"25",0.0235441683043141
