"","var","rel.inf"
"T_air","T_air",55.4612610266756
"v","v",17.0607937856463
"i0","i0",12.7523135154296
"P","P",6.47114149078562
"M_b","M_b",4.6390729822345
"M_th","M_th",1.11191265942099
"r","r",0.997669747147073
"alpha_th","alpha_th",0.25984616046587
"T_mK","T_mK",0.243956138592272
"T_g","T_g",0.127907272283902
"s","s",0.125885728463376
"f","f",0.102282485400514
"A_th","A_th",0.0887986829534453
"n","n",0.0818707968977413
"C_l","C_l",0.0622049495693966
"A_h","A_h",0.0570862458264775
"epsilon_e","epsilon_e",0.0541061676248627
"delta_T_h","delta_T_h",0.049399087408383
"alpha_si","alpha_si",0.0435305708476382
"alpha_so","alpha_so",0.040518991701272
"l_th","l_th",0.0400745863594432
"T_0","T_0",0.0347844984997426
"c","c",0.0331400903713144
"epsilon","epsilon",0.0318005723286102
"E","E",0.0286417670660939
