"","var","rel.inf"
"v","v",57.9080183802166
"T_air","T_air",40.3017535985204
"i0","i0",1.79022802126308
"delta_T_h","delta_T_h",0
"M_b","M_b",0
"M_th","M_th",0
"E","E",0
"c","c",0
"T_mK","T_mK",0
"alpha_si","alpha_si",0
"epsilon","epsilon",0
"A_th","A_th",0
"A_h","A_h",0
"alpha_so","alpha_so",0
"alpha_th","alpha_th",0
"f","f",0
"P","P",0
"T_g","T_g",0
"epsilon_e","epsilon_e",0
"s","s",0
"C_l","C_l",0
"n","n",0
"l_th","l_th",0
"T_0","T_0",0
"R_0","R_0",0
"D_A","D_A",0
"h_fg","h_fg",0
"rh","rh",0
